article,experiment,sample,id,pairing,yi,vi,sei,ni,stimuli,condition,gen_difficulty,manip_type,present_style,word_status,memory_test,memory_type,gen_constraint,learning_type,stimuli_relation,gen_mode,gen_task,attention,pacing,filler_task,age_grp,retention_delay
13,3a,1,35,18,0.928,0.000649249,0.025480365,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,3a,1,36,18,0.893,0.000814419,0.028538028,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,3b,1,37,19,0.819,0.001219328,0.034918877,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,3b,1,38,19,0.346,0.00142136,0.03770093,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,3b,1,39,20,0.906,0.000750673,0.027398404,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
13,3b,1,40,20,0.727,0.001745132,0.041774781,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
13,4,1,41,21,0.783,0.001429751,0.037812043,20,8,generate,NA,within,pure,words,recognition,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,4,1,42,21,0.542,0.00221937,0.047110194,20,8,read,NA,within,pure,words,recognition,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,4,1,43,22,0.785,0.001418065,0.037657204,20,8,generate,NA,within,pure,words,recognition,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
13,4,1,44,22,0.684,0.001954172,0.044206013,20,8,read,NA,within,pure,words,recognition,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
17,1,1,45,23,0.41,0.000700411,0.026465276,48,18,generate,NA,within,pure,words,free recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,1,46,23,0.31,0.000476643,0.021832163,48,18,read,NA,within,pure,words,free recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,2,47,24,0.33,0.000522567,0.022859718,48,18,generate,NA,within,pure,words,free recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,2,48,24,0.2,0.000251327,0.015853281,48,18,read,NA,within,pure,words,free recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,1,49,25,0.99,0.000161657,0.012714444,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,category,NA,NA,full,timed,no,younger,immediate
17,1,1,50,25,0.96,0.000203578,0.01426807,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,category,NA,NA,full,timed,no,younger,immediate
17,1,2,51,26,0.97,0.000188872,0.013743053,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,antonym,NA,NA,full,timed,no,younger,immediate
17,1,2,52,26,0.83,0.000454924,0.021328956,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,antonym,NA,NA,full,timed,no,younger,immediate
17,1,1,53,27,0.98,0.000174899,0.013224947,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,1,54,27,0.9,0.000306909,0.017518809,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,2,55,28,0.98,0.000174899,0.013224947,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,2,56,28,0.89,0.000326491,0.018069065,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,1,57,29,0.96,0.000324357,0.018009925,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,category,writing/typing,NA,full,timed,no,younger,immediate
17,1,1,58,29,0.92,0.000429669,0.02072847,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,category,writing/typing,NA,full,timed,no,younger,immediate
17,1,2,59,30,0.95,0.000348958,0.018680421,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,category,covert/thinking,NA,full,timed,no,younger,immediate
17,1,2,60,30,0.81,0.000797515,0.028240307,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,category,covert/thinking,NA,full,timed,no,younger,immediate
17,1,3,61,31,0.76,0.000980054,0.031305811,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,antonym,writing/typing,NA,full,timed,no,younger,immediate
17,1,3,62,31,0.8,0.0008342,0.028882519,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,antonym,writing/typing,NA,full,timed,no,younger,immediate
17,1,4,63,32,0.64,0.001327373,0.03643313,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,antonym,covert/thinking,NA,full,timed,no,younger,immediate
17,1,4,64,32,0.71,0.001149205,0.033899922,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,antonym,covert/thinking,NA,full,timed,no,younger,immediate
22,1,1,65,33,0.207,0.000384235,0.019601923,40,10,generate,NA,within,pure,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
22,1,1,66,33,0.138,0.00023114,0.015203299,40,10,read,NA,within,pure,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
22,1,1,67,34,0.227,0.00043785,0.020924862,40,10,generate,NA,within,pure,words,free recall,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
22,1,1,68,34,0.125,0.000207945,0.014420305,40,10,read,NA,within,pure,words,free recall,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
24,1,1,69,35,0.23,0.000504167,0.022453656,24,16,generate,low,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,1,1,70,35,0.27,0.0009375,0.030618622,24,16,generate,high,within,mixed,words,free recall,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
24,1,1,71,35,0.09,0.000266667,0.016329932,24,16,read,low,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,72,36,0.319,0.000894478,0.029907826,36,8,generate,low,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,73,36,0.332,0.000948317,0.030794759,36,8,generate,high,within,mixed,words,free recall,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
24,2,1,74,36,0.092,0.000193395,0.013906648,36,8,read,low,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,75,37,0.772,0.001057614,0.032520982,36,8,generate,low,within,mixed,words,recognition,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,76,37,0.694,0.001351844,0.036767435,36,8,generate,high,within,mixed,words,recognition,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
24,2,1,77,37,0.348,0.001014625,0.031853183,36,8,read,low,within,mixed,words,recognition,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,2,78,38,0.111,0.000228145,0.01510448,36,8,generate,low,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
24,2,2,79,38,0.123,0.000252361,0.015885884,36,8,generate,high,within,mixed,words,free recall,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,long
24,2,2,80,38,0.022,9.92358083701705e-05,0.009961717,36,8,read,low,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
24,2,2,81,39,0.61,0.001549902,0.039368801,36,8,generate,low,within,mixed,words,recognition,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
24,2,2,82,39,0.437,0.001353682,0.036792423,36,8,generate,high,within,mixed,words,recognition,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,long
24,2,2,83,39,0.13,0.000267324,0.016350041,36,8,read,low,within,mixed,words,recognition,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
33,1,1,84,40,0.28,0.000620475,0.024909341,16,75,generate,NA,within,mixed,non-words,free recall,item,high,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,1,1,85,40,0.26,0.000555432,0.023567603,16,75,read,NA,within,mixed,non-words,free recall,item,NA,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,1,2,86,41,0.253,0.00053337,0.023094797,16,75,generate,NA,within,mixed,non-words,free recall,item,high,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,1,2,87,41,0.253,0.00053337,0.023094797,16,75,read,NA,within,mixed,non-words,free recall,item,NA,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,3,1,88,42,0.645,0.001341584,0.036627646,30,12,generate,NA,within,mixed,non-words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,89,43,0.783,0.000912802,0.030212611,30,12,generate,NA,within,mixed,words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,90,44,0.798,0.000856744,0.029270193,30,12,generate,NA,within,mixed,words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,91,45,0.727,0.001114152,0.033378921,30,12,generate,NA,within,mixed,words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,92,42,0.719,0.001140844,0.03377638,30,12,read,NA,within,mixed,non-words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,93,43,0.764,0.00098313,0.031354904,30,12,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,94,44,0.623,0.001380205,0.037151116,30,12,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,95,45,0.525,0.001402665,0.037452167,30,12,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
34,1,1,96,46,0.86,0.000625,0.025,16,30,generate,NA,within,mixed,words,NA,item,low,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,1,1,97,46,0.59,0.00225625,0.0475,16,30,read,NA,within,mixed,words,NA,item,NA,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,1,1,98,47,0.76,0.0016,0.04,16,30,generate,NA,within,mixed,words,recognition,item,low,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,1,1,99,47,0.6,0.003025,0.055,16,30,read,NA,within,mixed,words,recognition,item,NA,incidental,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,4,1,100,48,0.78,0.000672222,0.025927249,18,64,generate,NA,within,mixed,words,recognition,source,low,intentional,NA,writing/typing,word fragment,full,timed,no,younger,long
34,4,1,101,48,0.59,0.0018,0.042426407,18,32,read,NA,within,mixed,words,recognition,source,NA,intentional,NA,writing/typing,word fragment,full,timed,no,younger,long
34,5,1,102,49,0.83,0.000731785,0.027051532,15,48,generate,NA,within,mixed,words,NA,item,low,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,1,103,49,0.59,0.001404168,0.037472223,15,48,read,NA,within,mixed,words,NA,item,NA,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,1,104,50,0.69,0.00122041,0.034934366,15,48,generate,NA,within,mixed,words,recognition,item,low,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,1,105,50,0.59,0.001404168,0.037472223,15,48,read,NA,within,mixed,words,recognition,item,NA,intentional,NA,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,106,51,0.81,0.000805174,0.028375596,15,48,generate,NA,within,mixed,words,NA,item,medium,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,107,51,0.6,0.001396346,0.037367714,15,48,read,NA,within,mixed,words,NA,item,NA,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,108,52,0.78,0.000916305,0.030270538,15,48,generate,NA,within,mixed,words,recognition,item,medium,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
34,5,2,109,52,0.63,0.001357776,0.036848014,15,48,read,NA,within,mixed,words,recognition,item,NA,intentional,semantic,writing/typing,word fragment,full,timed,yes,younger,short
39,1,1,110,53,0.86,0.000377067,0.019418203,42,32,generate,NA,within,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,1,111,53,0.77,0.000574818,0.023975373,42,32,read,NA,within,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,2,112,54,0.72,0.000680379,0.026084077,42,32,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,2,113,54,0.7,0.000718352,0.026802086,42,32,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,3,114,55,0.68,0.000752775,0.027436748,42,32,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,3,115,55,0.67,0.000768436,0.027720672,42,32,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,4,116,56,0.82,0.00046339,0.021526502,42,32,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,1,4,117,56,0.74,0.000639597,0.025290257,42,32,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,118,57,0.88,0.000504532,0.022461791,48,8,generate,NA,within,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,119,57,0.74,0.000959464,0.030975224,48,8,read,NA,within,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,120,58,0.74,0.000959464,0.030975224,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,121,58,0.69,0.001104157,0.033228862,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,122,59,0.76,0.000895213,0.029920107,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,123,59,0.73,0.000990509,0.031472352,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,124,60,0.84,0.000629411,0.025088055,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,2,1,125,60,0.73,0.000990509,0.031472352,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,126,61,0.86,0.00056564,0.023783197,48,8,generate,NA,within,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,127,61,0.81,0.000728476,0.026990293,48,8,read,NA,within,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,128,62,0.73,0.000990509,0.031472352,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,129,62,0.74,0.000959464,0.030975224,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,130,63,0.74,0.000959464,0.030975224,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,131,63,0.71,0.001049721,0.032399393,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,132,64,0.9,0.000446662,0.021134377,48,8,generate,NA,within,pure,non-words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
39,3,1,133,64,0.79,0.000795542,0.028205359,48,8,read,NA,within,pure,non-words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,134,65,0.389,0.000779074,0.027911896,32,30,generate,NA,within,pure,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,135,65,0.373,0.000737174,0.02715095,32,30,read,NA,within,pure,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,136,66,0.398,0.000801987,0.02831937,32,30,generate,NA,within,pure,words,free recall,item,high,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,1,137,66,0.373,0.000737174,0.02715095,32,30,read,NA,within,pure,words,free recall,item,NA,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,138,67,0.425,0.00086691,0.029443333,32,30,generate,NA,within,mixed,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,139,67,0.243,0.000393731,0.019842658,32,30,read,NA,within,mixed,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,140,68,0.449,0.000918416,0.030305378,32,30,generate,NA,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,3,2,141,68,0.24,0.000386624,0.019662765,32,30,read,NA,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,142,69,0.376,0.001059633,0.032552008,16,30,generate,NA,within,mixed,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,143,69,0.379,0.001070885,0.032724374,16,30,read,NA,within,mixed,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,144,70,0.359,0.000994894,0.031541948,16,30,generate,NA,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
46,4,1,145,70,0.344,0.000936838,0.030607812,16,30,read,NA,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word stem,full,timed,yes,younger,immediate
52,1,1,146,71,0.376,0.00120125,0.034659054,20,20,generate,NA,within,mixed,words,recognition,source,low,incidental,category,covert/thinking,sentence completion,full,timed,no,younger,immediate
52,1,1,147,71,0.565,0.00114005,0.033764626,20,20,read,NA,within,mixed,words,recognition,source,NA,incidental,category,NA,sentence completion,full,timed,no,younger,immediate
52,1,2,148,72,0.295,0.0014792,0.038460369,20,20,generate,NA,within,mixed,words,recognition,source,low,incidental,category,covert/thinking,sentence completion,full,timed,no,older,immediate
52,1,2,149,72,0.527,0.00108045,0.032870199,20,20,read,NA,within,mixed,words,recognition,source,NA,incidental,category,NA,sentence completion,full,timed,no,older,immediate
54,1a,1,150,73,0.624,0.00171891,0.041459742,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1a,1,151,73,0.383,0.001300461,0.036061903,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1a,2,152,74,0.708,0.001466549,0.038295543,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1a,2,153,74,0.622,0.00172264,0.041504698,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,1,154,75,0.635,0.001696264,0.04118573,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,1,155,75,0.376,0.001269135,0.035624927,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,2,156,76,0.73,0.001376381,0.037099613,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,1b,2,157,76,0.614,0.001736337,0.041669375,12,18,read,NA,within,mixed,words,free recall,item,NA,incidental,category,verbal/speaking,word fragment,full,self-paced,yes,younger,immediate
54,2,1,158,77,0.694,0.001519779,0.038984346,12,18,generate,NA,within,mixed,words,free recall,item,medium,intentional,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
54,2,1,159,77,0.351,0.001154598,0.033979379,12,18,read,NA,within,mixed,words,free recall,item,NA,intentional,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
54,2,2,160,78,0.632,0.001702794,0.041264924,12,18,generate,NA,within,mixed,words,free recall,item,medium,incidental,category,verbal/speaking,word fragment,full,timed,yes,younger,immediate
